date,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,BTC_quote_asset_volume,BTC_number_of_trades,BTC_ taker_buy_base_asset_volume,BTC_taker_buy_quote_asset_volume,BTC_ohlc,BTC_returns,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,ETH_quote_asset_volume,ETH_number_of_trades,ETH_ taker_buy_base_asset_volume,ETH_taker_buy_quote_asset_volume,ETH_ohlc,ETH_returns,BNB_open,BNB_high,BNB_low,BNB_close,BNB_volume,BNB_quote_asset_volume,BNB_number_of_trades,BNB_ taker_buy_base_asset_volume,BNB_taker_buy_quote_asset_volume,BNB_ohlc,BNB_returns,EOS_open,EOS_high,EOS_low,EOS_close,EOS_volume,EOS_quote_asset_volume,EOS_number_of_trades,EOS_ taker_buy_base_asset_volume,EOS_taker_buy_quote_asset_volume,EOS_ohlc,EOS_returns,XRP_open,XRP_high,XRP_low,XRP_close,XRP_volume,XRP_quote_asset_volume,XRP_number_of_trades,XRP_ taker_buy_base_asset_volume,XRP_taker_buy_quote_asset_volume,XRP_ohlc,XRP_returns,XTZ_open,XTZ_high,XTZ_low,XTZ_close,XTZ_volume,XTZ_quote_asset_volume,XTZ_number_of_trades,XTZ_ taker_buy_base_asset_volume,XTZ_taker_buy_quote_asset_volume,XTZ_ohlc,XTZ_returns,LINK_open,LINK_high,LINK_low,LINK_close,LINK_volume,LINK_quote_asset_volume,LINK_number_of_trades,LINK_ taker_buy_base_asset_volume,LINK_taker_buy_quote_asset_volume,LINK_ohlc,LINK_returns,Date,Mining Revenue,Hashrate_Price_Multiple,Bitcoin_Adjusted_Difficulty,longs_mean,shorts_mean,longs_max,shorts_max,longs_min,shorts_min,longs_close,shorts_close,longs_open,shorts_open,fundingRateClose,fundingRateDailyClose,fundingRateOpen,fundingRateDailyOpen,fundingRateMean,fundingRateDailyMean,snp_Open,snp_High,snp_Low,snp_Close,snp_Volume,snp_ohlc,snp_returns
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,3454770.05073206,3427,616.248541,2678216.40060401,4308.1725,,301.13,312.18,298.0,302.0,7030.71034,2154655.3003566,4522,6224.58999,1908705.3685302,303.3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-17,8320553.0706899995,5966241.41926,923233068448.0,16821.8694064159,15273.407942686763,17884.72247068,16525.53861579,15419.17889763,14691.69007616,15421.59685752,14725.664224,17717.28290791,16394.47242361,,,,,,,2462.95,2465.02,2430.01,2430.01,521867392.0,2446.9975,0.9911356656300977
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,5086958.30617151,5233,972.86871,4129123.31651808,4175.935,0.9587615633780466,302.0,311.79,283.94,293.96,9537.84646,2858946.5093539,5658,7452.43542,2240813.2612264,297.9225,0.9733774834437086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-18,10849951.0088,8215055.49267,923233068448.0,16886.826262714858,16605.0324458655,18096.41086719,17352.74318074,13992.95126088,16210.91389557,17715.38732598,16392.28771987,13992.95126088,17101.10816601,,,,,,,2427.64,2440.27,2420.69,2425.55,604768320.0,2428.5375000000004,0.9924560609481622
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,1549483.73542151,2153,274.336042,1118001.87008735,4070.7599999999998,1.0076940489780617,293.31,299.9,278.0,290.91,2146.19773,620022.5898617,1795,1537.9755,444713.6122086,290.53000000000003,0.9896244386991428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-19,8775119.92163,6838230.549769999,923233068448.0,14905.846344655069,17457.577546264307,16128.230182700005,18415.637955000002,13918.87481279,16573.86884898,13992.8837403,17095.90816601,16090.65542731,18415.637955000002,,,,,,,,,,,,,
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,1930364.39032646,2321,376.795947,1557401.3337373,4112.7425,0.9870313383156442,289.41,300.53,282.85,299.1,2510.13871,742847.8945599,2038,2186.68739,647506.0620205,292.9725,1.0281530370217593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-20,8768358.087960001,6930018.87929,923233068448.0,15911.931188353872,18185.360525739798,16443.12625167,18882.63394694,14906.93010113,17121.51151572,16090.55393451,18414.7427593,14928.58531182,17128.61751741,,,,,,,,,,,,,
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,2797231.71402728,3972,557.356107,2255662.55315837,4029.135,0.9827985776829349,299.1,346.52,294.6,323.29,5219.44542,1689472.341214,3925,4004.19967,1297977.4231142,315.8775,1.0808759612169843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-21,7392849.38327,5966241.41926,923233068448.0,14266.55043476715,17666.350616114567,15027.84657188,18573.73721511,13628.15999095,17003.51381005,14927.7691259,17132.26622001,13663.13246769,18573.73721511,,,,,,,2425.5,2430.58,2417.35,2428.37,461474912.0,2425.45,0.9987286587092024
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,3752505.77214051,6494,423.995181,1637188.36934226,3890.205,1.0059760956175299,321.04,330.41,144.21,309.8,7956.35088,2454425.8033137,6577,4433.78132,1364472.488333,276.365,0.9582727582047078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-22,6787387.377,5277828.94781,923233068448.0,12640.284980769875,19537.718218731283,13897.80551325,20526.14059239,10753.70047891,17745.74482745,13668.99570155,18577.82124211,13897.80551325,19068.31055064,,,,,,,2433.75,2454.77,2433.67,2452.51,429489312.0,2443.675,1.0075140695541036
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,4148686.46581968,8629,309.419092,1293567.09519463,4108.424999999999,1.018319306930693,312.25,324.99,309.41,315.74,8665.72569,2753464.9450408,8540,2282.23633,728206.9176149,315.5975,1.0191736604260813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-23,5749751.915019999,4084580.66396,923233068448.0,14849.39208920779,17779.67175889547,16229.73381355,19065.31055064,13679.25736456,17233.8818093,13898.17382976,19065.31055064,16141.33668667,17576.0651271,,,,,,,2444.88,2448.91,2441.42,2444.04,429162720.0,2444.8125,1.0004654874318393
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,3296476.41316476,6247,206.820412,868379.0641312,4229.925,1.0491005126385207,315.74,328.04,314.01,323.42,6753.27192,2159417.1141537,6495,1901.90029,610929.1471679,320.3025,1.0243238107303478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-24,10230714.975,7297172.1974,923233068448.0,16315.01545795789,17847.17489666544,17298.68416576,18178.26966625,16070.17934441,17077.57791052,16142.40168667,17575.73237411,17133.68157026,17320.08859034,,,,,,,2447.91,2450.39,2436.19,2438.97,470044928.0,2443.365,0.9994079300559858
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,2484637.34936327,6554,100.097974,434577.13574645,4324.52,0.9918141987622828,323.42,338.28,323.42,327.24,7125.96962,2354162.038294,7452,2595.82561,859314.6835184,328.09000000000003,1.01181126708305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-25,6929315.638160001,4459277.50765,891643263405.0,16236.891849918382,16921.45990506224,17332.68578881,17420.33281879,14626.76350151,16379.08224223,17124.44087768,17319.17170043,15194.11319056,17220.86309692,,,,,,,2444.72,2453.96,2442.22,2443.05,424178880.0,2445.9875,1.0010733148751825
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,977865.7333321,2260,56.190141,241363.80050245,4299.389999999999,1.0132595755814495,327.24,335.44,323.41,330.79,4877.68521,1601994.3773166,4400,941.99655,311132.2631003,329.22,1.0108483070529275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-26,7153227.770769999,4459277.50765,888171856257.0,15135.000210224338,17407.915212280037,15624.77119897,17666.56320052,14932.03729325,17182.54407679,15189.61263449,17222.96285351,15603.03099615,17579.29404204,,,,,,,,,,,,,
