,Unnamed: 0,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades, taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,upper,middle,lower
0,0,2017-08-17 01:00:00,4261.48,4485.39,4200.74,4285.08,795.150377,2017-08-18 00:59:59.999,3454770.05073206,3427,616.248541,2678216.40060401,8733.91139481,,,
1,1,2017-08-18 01:00:00,4285.08,4371.52,3938.77,4108.37,1199.888264,2017-08-19 00:59:59.999,5086958.30617151,5233,972.86871,4129123.31651808,9384.14140858,,,
2,2,2017-08-19 01:00:00,4108.37,4184.69,3850.0,4139.98,381.309763,2017-08-20 00:59:59.999,1549483.73542151,2153,274.336042,1118001.87008735,9184.08552906,,,
3,3,2017-08-20 01:00:00,4120.98,4211.08,4032.62,4086.29,467.083022,2017-08-21 00:59:59.999,1930364.39032646,2321,376.795947,1557401.3337373,10125.41408414,,,
4,4,2017-08-21 01:00:00,4069.13,4119.62,3911.79,4016.0,691.74306,2017-08-22 00:59:59.999,2797231.71402728,3972,557.356107,2255662.55315837,11706.76997007,,,
5,5,2017-08-22 01:00:00,4016.0,4104.82,3400.0,4040.0,966.684858,2017-08-23 00:59:59.999,3752505.77214051,6494,423.995181,1637188.36934226,11773.27950025,,,
6,6,2017-08-23 01:00:00,4040.0,4265.8,4013.89,4114.01,1001.136565,2017-08-24 00:59:59.999,4148686.46581968,8629,309.419092,1293567.09519463,12724.37533462,,,
7,7,2017-08-24 01:00:00,4147.0,4371.68,4085.01,4316.01,787.418753,2017-08-25 00:59:59.999,3296476.41316476,6247,206.820412,868379.0641312,14231.32630532,,,
8,8,2017-08-25 01:00:00,4316.01,4453.91,4247.48,4280.68,573.61274,2017-08-26 00:59:59.999,2484637.34936327,6554,100.097974,434577.13574645,12945.43630782,,,
9,9,2017-08-26 01:00:00,4280.71,4367.0,4212.41,4337.44,228.108068,2017-08-27 00:59:59.999,977865.7333321,2260,56.190141,241363.80050245,11789.06750167,,,
10,10,2017-08-27 01:00:00,4332.51,4400.0,4285.54,4310.01,350.692585,2017-08-28 00:59:59.999,1521580.06202557,3670,101.651358,442442.17937215,11456.95307303,,,
11,11,2017-08-28 01:00:00,4310.01,4399.82,4124.54,4386.69,603.841616,2017-08-29 00:59:59.999,2591660.52579953,4349,142.787782,612364.20611134,11075.45841897,,,
12,12,2017-08-29 01:00:00,4353.65,4625.85,4313.55,4587.48,603.545028,2017-08-30 00:59:59.999,2682483.73582991,4159,143.442567,641982.02068658,11050.54761867,,,
13,13,2017-08-30 01:00:00,4564.52,4647.51,4416.01,4555.14,808.468771,2017-08-31 00:59:59.999,3683714.68666123,5551,196.062252,894620.23750883,11438.9152736,,,
14,14,2017-08-31 01:00:00,4555.14,4745.42,4555.14,4724.89,556.956802,2017-09-01 00:59:59.999,2579878.72401184,4161,131.947325,614342.53390234,10779.83873125,,,
15,15,2017-09-01 01:00:00,4689.89,4885.55,4654.88,4834.91,560.666366,2017-09-02 00:59:59.999,2665165.55924616,4000,118.660103,566254.43089734,10906.14445652,,,
16,16,2017-09-02 01:00:00,4796.16,4939.19,4286.87,4472.14,929.148595,2017-09-03 00:59:59.999,4257723.944817,7475,379.199863,1738334.08541735,11416.45790779,,,
17,17,2017-09-03 01:00:00,4508.5,4714.76,4298.33,4509.08,691.216198,2017-09-04 00:59:59.999,3121052.75230181,6022,258.934536,1169644.69159694,12653.02927308,,,
18,18,2017-09-04 01:00:00,4505.0,4527.49,3972.51,4100.11,1394.644614,2017-09-05 00:59:59.999,5909947.49008974,9317,578.600851,2460362.61291664,11672.89407588,,,
19,19,2017-09-05 01:00:00,4106.97,4484.99,3603.0,4366.47,1228.938157,2017-09-06 00:59:59.999,5083453.18675071,10084,533.476065,2214297.83961246,11938.20199421,,,
20,20,2017-09-06 01:00:00,4366.49,4662.87,4335.26,4619.77,807.363726,2017-09-07 00:59:59.999,3626346.05544323,7956,422.923063,1903231.7409154,11138.37278647,,,
21,21,2017-09-07 01:00:00,4619.77,4788.59,4438.19,4691.61,500.429975,2017-09-08 00:59:59.999,2305795.13638315,3070,240.683949,1111299.24357466,11536.41291735,,,
22,22,2017-09-08 01:00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,2017-09-09 00:59:59.999,4866527.22639337,4733,465.962119,2004277.28941755,11115.57334676,,,
23,23,2017-09-09 01:00:00,4282.8,4426.62,4150.06,4258.81,658.782952,2017-09-10 00:59:59.999,2815383.46568698,3777,287.989805,1233627.00774409,10748.7487586,,,
24,24,2017-09-10 01:00:00,4258.81,4283.0,3801.0,4130.37,660.373275,2017-09-11 00:59:59.999,2700371.80819211,3435,291.786887,1193884.03650449,10431.32749057,4821.762914075238,4383.903886460204,3946.044858845171
25,25,2017-09-11 01:00:00,4153.62,4334.43,4098.91,4208.47,699.989065,2017-09-12 00:59:59.999,2956842.76250147,4228,322.19833,1361869.71324406,10696.14858553,4710.117018482943,4318.745688638774,3927.3743587946037
26,26,2017-09-12 01:00:00,4208.6,4394.59,4040.8,4163.72,879.630319,2017-09-13 00:59:59.999,3725190.62328952,6501,451.78067,1911015.26637066,10753.20738857,4373.185013312728,4259.481628948077,4145.7782445834255
27,27,2017-09-13 01:00:00,4159.72,4165.38,3760.0,3944.69,913.462545,2017-09-14 00:59:59.999,3570365.92571669,5019,363.053413,1425986.44091325,10140.67501448,4400.623499004634,4185.9647303880665,3971.305961771499
28,28,2017-09-14 01:00:00,3944.0,3993.0,3165.13,3189.02,1665.021543,2017-09-15 00:59:59.999,5914261.40460825,9066,761.153976,2711572.43635069,10046.01068952,4779.600464649726,4019.838307066184,3260.076149482642
29,29,2017-09-15 01:00:00,3188.01,3856.0,2817.0,3700.0,1968.866492,2017-09-16 00:59:59.999,6588767.18669446,10445,966.122245,3236325.66838306,9252.64943218,4606.681378069016,3861.0848256091813,3115.4882731493462
30,30,2017-09-16 01:00:00,3674.01,3950.0,3470.66,3714.95,1297.563953,2017-09-17 00:59:59.999,4804878.24721283,8809,624.887842,2314536.03271908,8845.90190543,4394.032023674694,3744.5938390751144,3095.155654475535
31,31,2017-09-17 01:00:00,3685.23,3748.21,3499.02,3699.99,682.17121,2017-09-18 00:59:59.999,2466490.27859466,6355,273.931976,994843.63045949,8391.64647834,4167.996241839071,3671.1567147480873,3174.317187657103
32,32,2017-09-18 01:00:00,3690.0,4123.2,3690.0,4035.01,1030.006455,2017-09-19 00:59:59.999,4069033.05715863,8220,417.638722,1651863.37125876,8105.35030419,4214.233589958012,3671.374764169943,3128.515938381873
